Name,Handedness,Height,Average_Height,Weight,Average_Weight,Batting_Average,Home_Runs,BMI,Health_Condition
Dave Rajsich,Left,77,Above,175,Below,0,0,20.74970484,Healthy
Enos Cabell,Right,76,Above,170,Below,0.277,60,20.69078947,Healthy
Sandy Alomar,Both,69,Below,140,Below,0.245,13,20.6721277,Healthy
Ben Oglivie,Left,74,Above,160,Below,0.273,235,20.54054054,Healthy
Bill Voss,Left,74,Above,160,Below,0.227,19,20.54054054,Healthy
Alan Wiggins,Both,74,Above,160,Below,0.259,5,20.54054054,Healthy
Win Remmerswaal,Right,74,Above,160,Below,0,0,20.54054054,Healthy
Ramon Manon,Right,72,Below,150,Below,0,0,20.34143519,Healthy
Ike Brookens,Right,77,Above,170,Below,0,0,20.15685613,Healthy
Dave Concepcion,Right,74,Above,155,Below,0.267,101,19.89864865,Healthy
Manny Trillo,Right,73,Below,150,Below,0.263,61,19.78795271,Healthy
